ID,이미지 경로,감정 클래스,한글 입력 문장
1,/home/jieun/MobileVLM/data/anger/000801.jpg,anger,하여간 우리나라 교육엔 미래가 없어!!
2,/home/jieun/MobileVLM/data/anger/000802.jpg,anger,채널에이 군부 개인거 인증하냐 동아일보야!!
3,/home/jieun/MobileVLM/data/anger/000803.jpg,anger,닭년이 조언 구했다고 했는데 먼개소리냐
4,/home/jieun/MobileVLM/data/anger/000804.jpg,anger,대가리에 우동사리들었냐.
5,/home/jieun/MobileVLM/data/anger/000805.jpg,anger,이런 뉴스 쓰지마라 공무원들 국민혈세 나랏돈 빼먹을 핑계만준다
6,/home/jieun/MobileVLM/data/anger/000806.jpg,anger,조윤선이야말로 박근혜 최순실 국정농단의 부역자야 그동안 호가호위해서 좋디?
7,/home/jieun/MobileVLM/data/anger/000807.jpg,anger,위증하면 너도 300여명 아이들을 죽인 살인자다.
8,/home/jieun/MobileVLM/data/anger/000808.jpg,anger,나라를 좀먹는 일베충들이다.
9,/home/jieun/MobileVLM/data/anger/000809.jpg,anger,일본... 절대 잊지 않겠다!!
10,/home/jieun/MobileVLM/data/anger/000810.jpg,anger,둘다 나쁜 인간들인데 패륜아집단이 더 더러운새끼들이지
11,/home/jieun/MobileVLM/data/anger/000811.jpg,anger,무슬림 극단주의는 암덩어리 같은 존재
12,/home/jieun/MobileVLM/data/anger/000812.jpg,anger,감히 그네 따위랑 날 비교해?
13,/home/jieun/MobileVLM/data/anger/000813.jpg,anger,더러워서 탄핵도 못기다리겠다.
14,/home/jieun/MobileVLM/data/anger/000814.jpg,anger,아직도 저 돼지일가가 인간인줄알고 대화라는게 가능하다고 생각하는 머저리들이 있는게 놀라움.
15,/home/jieun/MobileVLM/data/anger/000815.jpg,anger,꼭 벌받을겁니다 당신
16,/home/jieun/MobileVLM/data/anger/000816.jpg,anger,요즘은 개나 소나 변호사 다 하니깐 저런 개 같은 변호사가 있군
17,/home/jieun/MobileVLM/data/anger/000817.jpg,anger,정부새기들아 효과없으면 다시 내려야지
18,/home/jieun/MobileVLM/data/anger/000818.jpg,anger,기자야. 펑펑 폭탄처럼 터지고 있는데 전 국민을 호구로 아나.
19,/home/jieun/MobileVLM/data/anger/000819.jpg,anger,애라이 저거 훔쳐가는 놈들 천벌 받는다
20,/home/jieun/MobileVLM/data/anger/000820.jpg,anger,어쩌라고 그 따그로 쳐만들고 쳐 팔고 새차로 바꺼주던가
21,/home/jieun/MobileVLM/data/fear/001201.jpg,fear,그냥 내 느낌일뿐겠지?
22,/home/jieun/MobileVLM/data/fear/001202.jpg,fear,아직너무초기라서 그런거죠?
23,/home/jieun/MobileVLM/data/fear/001203.jpg,fear,유치원버스 사고 낫다던데
24,/home/jieun/MobileVLM/data/fear/001204.jpg,fear,내가불안해서꾸는걸까..
25,/home/jieun/MobileVLM/data/fear/001205.jpg,fear,아내 있으면 여자 있는 술집가면 법 적으로 문제있나요?
26,/home/jieun/MobileVLM/data/fear/001206.jpg,fear,한소리들을지.... 도와주세요
27,/home/jieun/MobileVLM/data/fear/001207.jpg,fear,그냥 잡다한거말고학업에 관련된거 듣는게 더 좋은가요?
28,/home/jieun/MobileVLM/data/fear/001208.jpg,fear, 가격은 반값....이거 질이 다른건가요??
29,/home/jieun/MobileVLM/data/fear/001209.jpg,fear, 몸무게 1키로찌는건 아니겠죠?
30,/home/jieun/MobileVLM/data/fear/001210.jpg,fear,그정도로 더러운가요.........
31,/home/jieun/MobileVLM/data/fear/001211.jpg,fear, 보통 가진통도 이렇게 오래가나요?
32,/home/jieun/MobileVLM/data/fear/001212.jpg,fear,걱정이 큽니다
33,/home/jieun/MobileVLM/data/fear/001213.jpg,fear,이거 무슨 증상이죠??ㅜㅜ
34,/home/jieun/MobileVLM/data/fear/001214.jpg,fear,애인으로써 정말 걱정됩니다
35,/home/jieun/MobileVLM/data/fear/001215.jpg,fear,이러다 일주일전에 나오는거 아닌가몰라요
36,/home/jieun/MobileVLM/data/fear/001216.jpg,fear,극도로 예민하고 불안한 상태에요
37,/home/jieun/MobileVLM/data/fear/001217.jpg,fear,못받으면 어떡하죠
38,/home/jieun/MobileVLM/data/fear/001218.jpg,fear,이제 곧 내년이면 22살인 여대생입니다...요즘 고민이 있는데요...
39,/home/jieun/MobileVLM/data/fear/001219.jpg,fear,집에와서 또 운동하긴했는데지난 3주의 노력이 물거품이 될까봐정말 걱정되요
40,/home/jieun/MobileVLM/data/fear/001220.jpg,fear,엄마한테는 친구랑 보러간다하는데 안들키겠지??
41,/home/jieun/MobileVLM/data/happy/000001.jpg,happy,오늘 정말 한눈에 반할 정도로 이뻤어요~~
42,/home/jieun/MobileVLM/data/happy/000002.jpg,happy,700일동안 화려한 팀워크와 자체발광하는 아름다운 노래.
43,/home/jieun/MobileVLM/data/happy/000003.jpg,happy,금방 사라지고 마는 스타들이 많은 우리 프로야구계에서 아저씨야말로 지존입니다.
44,/home/jieun/MobileVLM/data/happy/000004.jpg,happy,정말 대단합니다.
45,/home/jieun/MobileVLM/data/happy/000005.jpg,happy,도니오빠도 하는 일들 모두 실타래 처럼 잘 풀렸음해요^^
46,/home/jieun/MobileVLM/data/happy/000006.jpg,happy,청하 솔로로 ost도 낸다던데 다재다능하다 진짜
47,/home/jieun/MobileVLM/data/happy/000007.jpg,happy,jtbc.. 대한민국의 희망입니다
48,/home/jieun/MobileVLM/data/happy/000008.jpg,happy,최순실이 구속되니 이제야 나라가 돌아가는구나
49,/home/jieun/MobileVLM/data/happy/000009.jpg,happy,한마디로 멋있으십니다
50,/home/jieun/MobileVLM/data/happy/000010.jpg,happy,잘했다!!!!!!!!!!!!
51,/home/jieun/MobileVLM/data/happy/000011.jpg,happy,크~진짜 훌륭한 작품일세~~~~
52,/home/jieun/MobileVLM/data/happy/000012.jpg,happy,차우찬이 진짜 개승리자다 시기가 천운이네
53,/home/jieun/MobileVLM/data/happy/000013.jpg,happy,작가님 진찌 배우신분ㅜㅜㅜㅜㅜ원년멤버 그대로가야 의미가 있다는 말에 전적으로 동의합니다ㅜㅜㅜ
54,/home/jieun/MobileVLM/data/happy/000014.jpg,happy,우와 최민용씨 다리기네요 .비율이 좋네용
55,/home/jieun/MobileVLM/data/happy/000015.jpg,happy,스페셜~~ 봐도 봐도 또보고 싶음~~♡
56,/home/jieun/MobileVLM/data/happy/000016.jpg,happy,연기자들 모두 짱이다
57,/home/jieun/MobileVLM/data/happy/000017.jpg,happy,잘했다!!!!!!!!!!!!
58,/home/jieun/MobileVLM/data/happy/000018.jpg,happy,유재석 의 도전 대단하다..
59,/home/jieun/MobileVLM/data/happy/000019.jpg,happy,63번버스 매일타는데 다른기사님들보다 참 젊은기사분이라고 생각했었는데 멋지시기까지 하네요!!
60,/home/jieun/MobileVLM/data/happy/000020.jpg,happy,박보검 눈물의 최우수상 같이 울었네요~축하해요 보검이도 송중기도요~♡
61,/home/jieun/MobileVLM/data/neutral/002001.jpg,neutral, 소량은 먹어도 인체에 해롭지 않고요.
62,/home/jieun/MobileVLM/data/neutral/002002.jpg,neutral,그래도 청문회 나온 놈들보다는 정직한 대답 한것 같다
63,/home/jieun/MobileVLM/data/neutral/002003.jpg,neutral,이런일 터지기전에 이미 계약 했을까?
