ID,정답 감정(영어),정답 감정(한글),모델 감정(한글),모델 감정(영어),정답 여부
1,anger,분노,,UNKNOWN,X
2,anger,분노,,UNKNOWN,X
3,anger,분노,,UNKNOWN,X
4,anger,분노,,UNKNOWN,X
5,anger,분노,,UNKNOWN,X
6,anger,분노,,UNKNOWN,X
7,anger,분노,,UNKNOWN,X
8,anger,분노,,UNKNOWN,X
9,anger,분노,,UNKNOWN,X
10,anger,분노,,UNKNOWN,X
11,anger,분노,,UNKNOWN,X
12,anger,분노,,UNKNOWN,X
13,anger,분노,,UNKNOWN,X
14,anger,분노,,UNKNOWN,X
15,anger,분노,,UNKNOWN,X
16,anger,분노,,UNKNOWN,X
17,anger,분노,,UNKNOWN,X
18,anger,분노,,UNKNOWN,X
19,anger,분노,,UNKNOWN,X
20,anger,분노,,UNKNOWN,X
21,fear,불안,,UNKNOWN,X
22,fear,불안,,UNKNOWN,X
23,fear,불안,,UNKNOWN,X
24,fear,불안,,UNKNOWN,X
25,fear,불안,,UNKNOWN,X
26,fear,불안,,UNKNOWN,X
27,fear,불안,,UNKNOWN,X
28,fear,불안,,UNKNOWN,X
29,fear,불안,,UNKNOWN,X
30,fear,불안,,UNKNOWN,X
31,fear,불안,,UNKNOWN,X
32,fear,불안,,UNKNOWN,X
33,fear,불안,,UNKNOWN,X
34,fear,불안,,UNKNOWN,X
35,fear,불안,,UNKNOWN,X
36,fear,불안,,UNKNOWN,X
37,fear,불안,,UNKNOWN,X
38,fear,불안,,UNKNOWN,X
39,fear,불안,,UNKNOWN,X
40,fear,불안,,UNKNOWN,X
41,happy,행복,,UNKNOWN,X
42,happy,행복,,UNKNOWN,X
43,happy,행복,,UNKNOWN,X
44,happy,행복,,UNKNOWN,X
45,happy,행복,,UNKNOWN,X
46,happy,행복,,UNKNOWN,X
47,happy,행복,,UNKNOWN,X
48,happy,행복,,UNKNOWN,X
49,happy,행복,,UNKNOWN,X
50,happy,행복,,UNKNOWN,X
51,happy,행복,,UNKNOWN,X
52,happy,행복,,UNKNOWN,X
53,happy,행복,,UNKNOWN,X
54,happy,행복,,UNKNOWN,X
55,happy,행복,,UNKNOWN,X
56,happy,행복,,UNKNOWN,X
57,happy,행복,,UNKNOWN,X
58,happy,행복,,UNKNOWN,X
59,happy,행복,,UNKNOWN,X
60,happy,행복,,UNKNOWN,X
61,neutral,중립,,UNKNOWN,X
62,neutral,중립,,UNKNOWN,X
63,neutral,중립,,UNKNOWN,X
64,neutral,중립,,UNKNOWN,X
65,neutral,중립,,UNKNOWN,X
66,neutral,중립,,UNKNOWN,X
67,neutral,중립,,UNKNOWN,X
68,neutral,중립,,UNKNOWN,X
69,neutral,중립,,UNKNOWN,X
70,neutral,중립,,UNKNOWN,X
71,neutral,중립,,UNKNOWN,X
72,neutral,중립,,UNKNOWN,X
73,neutral,중립,,UNKNOWN,X
74,neutral,중립,,UNKNOWN,X
75,neutral,중립,,UNKNOWN,X
76,neutral,중립,,UNKNOWN,X
77,neutral,중립,,UNKNOWN,X
78,neutral,중립,,UNKNOWN,X
79,neutral,중립,,UNKNOWN,X
80,neutral,중립,,UNKNOWN,X
81,sad,슬픔,,UNKNOWN,X
82,sad,슬픔,,UNKNOWN,X
83,sad,슬픔,,UNKNOWN,X
84,sad,슬픔,,UNKNOWN,X
85,sad,슬픔,,UNKNOWN,X
86,sad,슬픔,,UNKNOWN,X
87,sad,슬픔,,UNKNOWN,X
88,sad,슬픔,,UNKNOWN,X
89,sad,슬픔,,UNKNOWN,X
90,sad,슬픔,,UNKNOWN,X
91,sad,슬픔,,UNKNOWN,X
92,sad,슬픔,,UNKNOWN,X
93,sad,슬픔,,UNKNOWN,X
94,sad,슬픔,,UNKNOWN,X
95,sad,슬픔,,UNKNOWN,X
96,sad,슬픔,,UNKNOWN,X
97,sad,슬픔,,UNKNOWN,X
98,sad,슬픔,,UNKNOWN,X
99,sad,슬픔,,UNKNOWN,X
100,sad,슬픔,,UNKNOWN,X
101,surprised,놀람,,UNKNOWN,X
102,surprised,놀람,,UNKNOWN,X
103,surprised,놀람,,UNKNOWN,X
104,surprised,놀람,,UNKNOWN,X
105,surprised,놀람,,UNKNOWN,X
106,surprised,놀람,,UNKNOWN,X
107,surprised,놀람,,UNKNOWN,X
108,surprised,놀람,,UNKNOWN,X
109,surprised,놀람,,UNKNOWN,X
110,surprised,놀람,,UNKNOWN,X
111,surprised,놀람,,UNKNOWN,X
112,surprised,놀람,,UNKNOWN,X
113,surprised,놀람,,UNKNOWN,X
114,surprised,놀람,,UNKNOWN,X
115,surprised,놀람,,UNKNOWN,X
116,surprised,놀람,,UNKNOWN,X
117,surprised,놀람,,UNKNOWN,X
118,surprised,놀람,,UNKNOWN,X
119,surprised,놀람,,UNKNOWN,X
120,surprised,놀람,,UNKNOWN,X
